filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.02,-900.0,260103.0,-0.3460167702794662,-42318.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.2,-600.0,261003.0,-0.22988241514465352,-28320.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.09,-600.0,261603.0,-0.22935516794532174,-28254.000000000004
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.04,-500.0,262203.0,-0.19069194479086815,-23520.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,46.98,-500.0,262703.0,-0.1903290027140916,-23490.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,46.95,-300.0,264503.0,-0.11342026366430627,-14085.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.17,-500.0,263703.0,-0.18960724754743025,-23585.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,46.97,-100.0,265103.0,-0.03772118761387084,-4697.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.01,-300.0,264803.0,-0.11329176784250934,-14103.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,46.97,-100.0,265103.0,-0.03772118761387084,-4697.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.08,-1500.0,255203.0,-0.5877673851796413,-70620.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.0,-1200.0,256703.0,-0.46746629373244564,-56400.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.17,-500.0,262703.0,-0.1903290027140916,-23585.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.02,-900.0,260103.0,-0.3460167702794662,-42318.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,46.99,-1000.0,259103.0,-0.3859469014253019,-46990.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.09,-600.0,261603.0,-0.22935516794532174,-28254.000000000004
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.11,-500.0,263203.0,-0.18996743958085582,-23555.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.04,-500.0,262203.0,-0.19069194479086815,-23520.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.02,-900.0,260103.0,-0.3460167702794662,-42318.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.2,-600.0,261003.0,-0.22988241514465352,-28320.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,46.96,-300.0,264203.0,-0.1135490512976764,-14088.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,46.98,-500.0,263703.0,-0.18960724754743025,-23490.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.13,-1200.0,257903.0,-0.46529121413864905,-56556.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.04,-500.0,262203.0,-0.19069194479086815,-23520.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.01,-300.0,264803.0,-0.11329176784250934,-14103.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,46.99,-1000.0,259103.0,-0.3859469014253019,-46990.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,46.97,-100.0,265103.0,-0.03772118761387084,-4697.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,47.01,-300.0,264803.0,-0.11329176784250934,-14103.0
2006-01-04,BANK OF AMERICA CORP /DE/,BAC,MOYNIHAN BRIAN T,Pres Gbl Wlth and Inv Mgt,S,46.95,-300.0,264503.0,-0.11342026366430627,-14085.0
2006-02-28,BANK OF AMERICA CORP /DE/,BAC,NEIL COTTY,Chief Accounting Officer,S,45.3,-5000.0,47097.0,-10.616387455676582,-226500.0
2006-02-28,BANK OF AMERICA CORP /DE/,BAC,NEIL COTTY,Chief Accounting Officer,S,45.28,-27000.0,10097.0,-267.4061602456175,-1222560.0
2006-02-28,BANK OF AMERICA CORP /DE/,BAC,NEIL COTTY,Chief Accounting Officer,S,45.2,-10000.0,37097.0,-26.956357656953394,-452000.0
